File summary (Tue Aug 14 20:59:59 2018)
---------------------------------------

Filename	Class	TestId (can be used as param to AllTests)	Number of Tests	Number of Suites	Number of manual Suites	Parent Class	has JUnit-BEGIN
../src/test/edu/internet2/middleware/grouper/app/loader/db/Hib3GrouperDdlTest.java	Hib3GrouperDdlTest	app.loader.db.Hib3GrouperDdlTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/app/loader/db/Hib3GrouploaderLogTest.java	Hib3GrouploaderLogTest	app.loader.db.Hib3GrouploaderLogTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/app/loader/ldap/AllLoaderLdapTests.java	AllLoaderLdapTests	app.loader.ldap.AllLoaderLdapTests	0	1	0	?	1
WARNING: public static void isn't a valid signature for a unit test (../src/test/edu/internet2/middleware/grouper/app/loader/ldap/LoaderLdapElUtilsTest.java#testConvertDnToSpecificValue)
WARNING: public static void isn't a valid signature for a unit test (../src/test/edu/internet2/middleware/grouper/app/loader/ldap/LoaderLdapElUtilsTest.java#testConvertGroupNameAttributes)
WARNING: public static void isn't a valid signature for a unit test (../src/test/edu/internet2/middleware/grouper/app/loader/ldap/LoaderLdapElUtilsTest.java#testConvertDnToSubpath)
../src/test/edu/internet2/middleware/grouper/app/loader/ldap/LoaderLdapElUtilsTest.java	LoaderLdapElUtilsTest	app.loader.ldap.LoaderLdapElUtilsTest	0	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/app/messaging/MessageConsumerDaemonTest.java	MessageConsumerDaemonTest	app.messaging.MessageConsumerDaemonTest	2	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/app/usdu/AllUsduTests.java	AllUsduTests	app.usdu.AllUsduTests	0	1	0	?	1
../src/test/edu/internet2/middleware/grouper/app/usdu/TestUSDU.java	TestUSDU	app.usdu.TestUSDU	5	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/AllAttributeTests.java	AllAttributeTests	attr.AllAttributeTests	0	15	3	?	1
../src/test/edu/internet2/middleware/grouper/attr/AttrAssignAttributeSecurityTest.java	AttrAssignAttributeSecurityTest	attr.AttrAssignAttributeSecurityTest	11	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/AttributeAssignTest.java	AttributeAssignTest	attr.AttributeAssignTest	28	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/AttributeDefAttributeSecurityTest.java	AttributeDefAttributeSecurityTest	attr.AttributeDefAttributeSecurityTest	10	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/AttributeDefNameFinderTest.java	AttributeDefNameFinderTest	attr.AttributeDefNameFinderTest	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/AttributeDefNameSaveTest.java	AttributeDefNameSaveTest	attr.AttributeDefNameSaveTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/AttributeDefNameSetTest.java	AttributeDefNameSetTest	attr.AttributeDefNameSetTest	20	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/AttributeDefNameTest.java	AttributeDefNameTest	attr.AttributeDefNameTest	5	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/AttributeDefSaveTest.java	AttributeDefSaveTest	attr.AttributeDefSaveTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/AttributeDefScopeTest.java	AttributeDefScopeTest	attr.AttributeDefScopeTest	6	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/AttributeDefTest.java	AttributeDefTest	attr.AttributeDefTest	10	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/EffMshipAttributeSecurityTest.java	EffMshipAttributeSecurityTest	attr.EffMshipAttributeSecurityTest	9	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/GroupAttributeSecurityTest.java	GroupAttributeSecurityTest	attr.GroupAttributeSecurityTest	10	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/MemberAttributeSecurityTest.java	MemberAttributeSecurityTest	attr.MemberAttributeSecurityTest	4	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/MembershipAttributeSecurityTest.java	MembershipAttributeSecurityTest	attr.MembershipAttributeSecurityTest	9	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/StemAttributeSecurityTest.java	StemAttributeSecurityTest	attr.StemAttributeSecurityTest	12	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/assign/AllAttrAssignTests.java	AllAttrAssignTests	attr.assign.AllAttrAssignTests	0	3	0	?	1
../src/test/edu/internet2/middleware/grouper/attr/assign/AttributeAssignActionSetTest.java	AttributeAssignActionSetTest	attr.assign.AttributeAssignActionSetTest	20	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/assign/AttributeAssignActionTest.java	AttributeAssignActionTest	attr.assign.AttributeAssignActionTest	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/assign/AttributeAssignSaveTest.java	AttributeAssignSaveTest	attr.assign.AttributeAssignSaveTest	6	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/finder/AllAttrFinderTests.java	AllAttrFinderTests	attr.finder.AllAttrFinderTests	0	1	0	?	1
../src/test/edu/internet2/middleware/grouper/attr/finder/AttributeDefFinderTest.java	AttributeDefFinderTest	attr.finder.AttributeDefFinderTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/attr/value/AllAttributeValueTests.java	AllAttributeValueTests	attr.value.AllAttributeValueTests	0	1	0	?	1
../src/test/edu/internet2/middleware/grouper/attr/value/AttributeAssignValueTest.java	AttributeAssignValueTest	attr.value.AttributeAssignValueTest	31	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/audit/AllAuditTests.java	AllAuditTests	audit.AllAuditTests	0	4	0	?	1
../src/test/edu/internet2/middleware/grouper/audit/AuditEntryTest.java	AuditEntryTest	audit.AuditEntryTest	5	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/audit/AuditTest.java	AuditTest	audit.AuditTest	20	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/audit/AuditTypeTest.java	AuditTypeTest	audit.AuditTypeTest	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/audit/UserAuditQueryTest.java	UserAuditQueryTest	audit.UserAuditQueryTest	4	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/cfg/AllConfigTests.java	AllConfigTests	cfg.AllConfigTests	0	2	1	?	1
../src/test/edu/internet2/middleware/grouper/cfg/Test_api_GrouperConfig.java	Test_api_GrouperConfig	cfg.Test_api_GrouperConfig	4	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/cfg/Test_cfg_ApiConfig.java	Test_cfg_ApiConfig	cfg.Test_cfg_ApiConfig	3	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/cfg/dbConfig/AllDbConfigTests.java	AllDbConfigTests	cfg.dbConfig.AllDbConfigTests	0	1	0	TestCase	1
../src/test/edu/internet2/middleware/grouper/cfg/dbConfig/GrouperConfigHibernateTest.java	GrouperConfigHibernateTest	cfg.dbConfig.GrouperConfigHibernateTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/changeLog/AllChangeLogTests.java	AllChangeLogTests	changeLog.AllChangeLogTests	0	5	1	?	1
../src/test/edu/internet2/middleware/grouper/changeLog/ChangeLogConsumerBaseImplTest.java	ChangeLogConsumerBaseImplTest	changeLog.ChangeLogConsumerBaseImplTest	18	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/changeLog/ChangeLogEntryTest.java	ChangeLogEntryTest	changeLog.ChangeLogEntryTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/changeLog/ChangeLogIdTest.java	ChangeLogIdTest	changeLog.ChangeLogIdTest	2	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/changeLog/ChangeLogTest.java	ChangeLogTest	changeLog.ChangeLogTest	42	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/changeLog/ChangeLogTypeTest.java	ChangeLogTypeTest	changeLog.ChangeLogTypeTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/changeLog/esb/consumer/AllEsbConsumerTests.java	AllEsbConsumerTests	changeLog.esb.consumer.AllEsbConsumerTests	0	1	0	?	1
../src/test/edu/internet2/middleware/grouper/changeLog/esb/consumer/EsbConsumerTest.java	EsbConsumerTest	changeLog.esb.consumer.EsbConsumerTest	2	0	0	GrouperTest	0
